fecha,longitud,latitud,param,valor
2024-05-20,-27.4662499,-58.8655555,hazemeter,25.24
2024-05-20,-27.4673687,-58.8642187,ph,7
2024-05-20,-27.4673687,-58.8642187,cond,76.8
2024-05-20,-27.4673687,-58.8642187,secchi,15
2024-05-20,-27.4673687,-58.8642187,sol_sus,78.99999999999352
2024-05-20,-27.4673687,-58.8642187,turb,94
2024-05-20,-27.4673687,-58.8642187,hazemeter,19.42
2024-05-20,-27.4692696,-58.8628216,ph,6.9
2024-05-20,-27.4692696,-58.8628216,cond,68
2024-05-20,-27.4692696,-58.8628216,secchi,21
2024-05-20,-27.4692696,-58.8628216,sol_sus,74.0000000000407
2024-05-20,-27.4692696,-58.8628216,turb,63
2024-05-20,-27.4692696,-58.8628216,hazemeter,12.68
2024-05-20,-27.4704693,-58.8615767,ph,7
2024-05-20,-27.4704693,-58.8615767,cond,64.3
2024-05-20,-27.4704693,-58.8615767,secchi,24
2024-05-20,-27.4704693,-58.8615767,sol_sus,71.9999999999743
2024-05-20,-27.4704693,-58.8615767,turb,53
2024-05-20,-27.4704693,-58.8615767,hazemeter,12.18
2024-05-20,-27.4721863,-58.8598219,ph,7
2024-05-20,-27.4721863,-58.8598219,cond,59.7
2024-05-20,-27.4721863,-58.8598219,secchi,33
2024-05-20,-27.4721863,-58.8598219,sol_sus,66.99999999995043
2024-05-20,-27.4721863,-58.8598219,turb,34
2024-05-20,-27.4721863,-58.8598219,hazemeter,8.23
2024-05-20,-27.4732325,-58.8579279,ph,7.1
2024-05-20,-27.4732325,-58.8579279,cond,58.1
2024-05-20,-27.4732325,-58.8579279,secchi,41
2024-05-20,-27.4732325,-58.8579279,sol_sus,65.99999999998829
2024-05-20,-27.4732325,-58.8579279,turb,27
2024-05-20,-27.4732325,-58.8579279,hazemeter,7.01
2024-05-30,-27.4651438,-58.8688526,ph,7.6
2024-05-30,-27.4651438,-58.8688526,cond,98.3
2024-05-30,-27.4651438,-58.8688526,secchi,6
2024-05-30,-27.4651438,-58.8688526,sol_sus,111.99999999995214
2024-05-30,-27.4651438,-58.8688526,turb,135
2024-05-30,-27.4651438,-58.8688526,hazemeter,25.04
2024-05-30,-27.4656234,-58.866683,ph,7.7
2024-05-30,-27.4656234,-58.866683,cond,90.2
2024-05-30,-27.4656234,-58.866683,secchi,6
2024-05-30,-27.4656234,-58.866683,sol_sus,103.00000000000864
2024-05-30,-27.4656234,-58.866683,turb,137
2024-05-30,-27.4656234,-58.866683,hazemeter,29.46
2024-05-30,-27.4674984,-58.8652638,ph,7.8
2024-05-30,-27.4674984,-58.8652638,cond,72.4
2024-05-30,-27.4674984,-58.8652638,secchi,11
2024-05-30,-27.4674984,-58.8652638,sol_sus,82.9999999999842
2024-05-30,-27.4674984,-58.8652638,turb,88
2024-05-30,-27.4674984,-58.8652638,hazemeter,18.58
2024-05-30,-27.4698467,-58.8635679,ph,7.8
2024-05-30,-27.4698467,-58.8635679,cond,61.9
2024-05-30,-27.4698467,-58.8635679,secchi,23
2024-05-30,-27.4698467,-58.8635679,sol_sus,72.00000000004536
2024-05-30,-27.4698467,-58.8635679,turb,54
2024-05-30,-27.4698467,-58.8635679,hazemeter,11.84
2024-05-30,-27.4708793,-58.8624132,ph,7.8
2024-05-30,-27.4708793,-58.8624132,cond,58
2024-05-30,-27.4708793,-58.8624132,secchi,27
2024-05-30,-27.4708793,-58.8624132,sol_sus,67.99999999998363
