punto,banda,reflect,fecha,longitud,latitud
8,B03,0.04161186102363798,2023-05-11,-58.857019,-27.4740568
8,B04,0.02583747108777364,2023-05-11,-58.857019,-27.4740568
8,B05,0.01852231307162179,2023-05-11,-58.857019,-27.4740568
8,B06,0.01242898383902178,2023-05-11,-58.857019,-27.4740568
8,B07,0.01653675393511851,2023-05-11,-58.857019,-27.4740568
8,B08,0.01392814817114008,2023-05-11,-58.857019,-27.4740568
8,B8A,0.01092289974136898,2023-05-11,-58.857019,-27.4740568
8,B11,0.00209741074488394,2023-05-11,-58.857019,-27.4740568
8,B12,8.767418977287081e-4,2023-05-11,-58.857019,-27.4740568
9,B01,0.05411233959926499,2023-05-11,-58.8682313,-27.4645328
9,B02,0.05330103180474705,2023-05-11,-58.8682313,-27.4645328
9,B03,0.08990807914071614,2023-05-11,-58.8682313,-27.4645328
9,B04,0.1299705273575253,2023-05-11,-58.8682313,-27.4645328
9,B05,0.13496150076389313,2023-05-11,-58.8682313,-27.4645328
9,B06,0.09801328016652,2023-05-11,-58.8682313,-27.4645328
9,B07,0.10488739692502552,2023-05-11,-58.8682313,-27.4645328
9,B08,0.08788519518242942,2023-05-11,-58.8682313,-27.4645328
9,B8A,0.07824052042431301,2023-05-11,-58.8682313,-27.4645328
9,B11,0.02647071700387944,2023-05-11,-58.8682313,-27.4645328
9,B12,0.02053324076243572,2023-05-11,-58.8682313,-27.4645328
10,B01,0.03198247816827562,2023-05-11,-58.8672607,-27.4672578
10,B02,0.04714176224337683,2023-05-11,-58.8672607,-27.4672578
10,B03,0.08470376001463996,2023-05-11,-58.8672607,-27.4672578
10,B04,0.12257666885852814,2023-05-11,-58.8672607,-27.4672578
10,B05,0.11994650463263194,2023-05-11,-58.8672607,-27.4672578
10,B06,0.07777573747767343,2023-05-11,-58.8672607,-27.4672578
10,B07,0.0831835311320093,2023-05-11,-58.8672607,-27.4672578
10,B08,0.06886543499098884,2023-05-11,-58.8672607,-27.4672578
10,B8A,0.05294679395026631,2023-05-11,-58.8672607,-27.4672578
10,B11,1.4754137696905268e-4,2023-05-11,-58.8672607,-27.4672578
10,B12,1.2437082740588166e-4,2023-05-11,-58.8672607,-27.4672578
11,B01,0.03040783686770333,2023-05-11,-58.8647944,-27.4696977
11,B02,0.04180595527092615,2023-05-11,-58.8647944,-27.4696977
11,B03,0.07395255979564455,2023-05-11,-58.8647944,-27.4696977
11,B04,0.08773851063516405,2023-05-11,-58.8647944,-27.4696977
11,B05,0.07568582147359848,2023-05-11,-58.8647944,-27.4696977
11,B06,0.03689396050241259,2023-05-11,-58.8647944,-27.4696977
11,B07,0.03970680758357048,2023-05-11,-58.8647944,-27.4696977
11,B08,0.03213224146101209,2023-05-11,-58.8647944,-27.4696977
11,B8A,0.02551394680307971,2023-05-11,-58.8647944,-27.4696977
11,B11,5.214983603865322e-6,2023-05-11,-58.8647944,-27.4696977
11,B12,2.6611117775448493e-4,2023-05-11,-58.8647944,-27.4696977
12,B01,0.02673662805722819,2023-05-11,-58.8624538,-27.4705607
12,B02,0.03496845356292195,2023-05-11,-58.8624538,-27.4705607
12,B03,0.06070126468936602,2023-05-11,-58.8624538,-27.4705607
12,B04,0.05660182361801465,2023-05-11,-58.8624538,-27.4705607
12,B05,0.04406674909922811,2023-05-11,-58.8624538,-27.4705607
12,B06,0.02480874707301457,2023-05-11,-58.8624538,-27.4705607
12,B07,0.0266835575716363,2023-05-11,-58.8624538,-27.4705607
12,B08,0.01920935201148192,2023-05-11,-58.8624538,-27.4705607
12,B8A,0.01792962869836224,2023-05-11,-58.8624538,-27.4705607
12,B11,0.00187937726473642,2023-05-11,-58.8624538,-27.4705607
12,B12,0,2023-05-11,-58.8624538,-27.4705607
13,B01,0.02409804136388831,2023-05-11,-58.8606621,-27.4726781
13,B02,0.02862909953627321,2023-05-11,-58.8606621,-27.4726781
13,B03,0.04700167518523004,2023-05-11,-58.8606621,-27.4726781
13,B04,0.03156439649562041,2023-05-11,-58.8606621,-27.4726781
13,B05,0.0228018659270472,2023-05-11,-58.8606621,-27.4726781
13,B06,0.01662440825667646,2023-05-11,-58.8606621,-27.4726781
13,B07,0.01912688877847459,2023-05-11,-58.8606621,-27.4726781
13,B08,0.01401237150033315,2023-05-11,-58.8606621,-27.4726781
13,B8A,0.01563832018938329,2023-05-11,-58.8606621,-27.4726781
13,B11,1.9072624531367583e-5,2023-05-11,-58.8606621,-27.4726781
13,B12,3.0749611808763194e-4,2023-05-11,-58.8606621,-27.4726781
14,B01,0.02230594638321134,2023-05-11,-58.8591202,-27.4733471
14,B02,0.02793431178563171,2023-05-11,-58.8591202,-27.4733471
14,B03,0.04547158587310049,2023-05-11,-58.8591202,-27.4733471
14,B04,0.02872747244934241,2023-05-11,-58.8591202,-27.4733471
14,B05,0.02083468147450023,2023-05-11,-58.8591202,-27.4733471
14,B06,0.0144624373772078,2023-05-11,-58.8591202,-27.4733471
14,B07,0.01747893169522285,2023-05-11,-58.8591202,-27.4733471
14,B08,0.01398772373795509,2023-05-11,-58.8591202,-27.4733471
14,B8A,0.01323165351317988,2023-05-11,-58.8591202,-27.4733471
14,B11,8.812264746261967e-5,2023-05-11,-58.8591202,-27.4733471
14,B12,3.605653182603419e-4,2023-05-11,-58.8591202,-27.4733471
15,B01,0.03103031362924311,2023-05-11,-58.857019,-27.4740568
15,B02,0.02546706029938326,2023-05-11,-58.857019,-27.4740568
15,B03,0.04161186102363798,2023-05-11,-58.857019,-27.4740568
15,B04,0.02583747108777364,2023-05-11,-58.857019,-27.4740568
15,B05,0.01852231307162179,2023-05-11,-58.857019,-27.4740568
15,B06,0.01242898383902178,2023-05-11,-58.857019,-27.4740568
15,B07,0.01653675393511851,2023-05-11,-58.857019,-27.4740568
15,B08,0.01392814817114008,2023-05-11,-58.857019,-27.4740568
15,B8A,0.01092289974136898,2023-05-11,-58.857019,-27.4740568
15,B11,0.00209741074488394,2023-05-11,-58.857019,-27.4740568
15,B12,8.767418977287081e-4,2023-05-11,-58.857019,-27.4740568
1,B01,0.08526993128988478,2023-12-12,-58.8682645,-27.4647485
1,B02,0.09165224681297938,2023-12-12,-58.8682645,-27.4647485
1,B03,0.11645016570885976,2023-12-12,-58.8682645,-27.4647485
1,B04,0.13313707212607065,2023-12-12,-58.8682645,-27.4647485
1,B05,0.1186996094054646,2023-12-12,-58.8682645,-27.4647485
1,B06,0.10008763356341256,2023-12-12,-58.8682645,-27.4647485
1,B07,0.10927307936880323,2023-12-12,-58.8682645,-27.4647485
1,B08,0.0894845790333218,2023-12-12,-58.8682645,-27.4647485
1,B8A,0.09784122225311068,2023-12-12,-58.8682645,-27.4647485
1,B11,0.08237442870934804,2023-12-12,-58.8682645,-27.4647485
1,B12,0.07515097575055228,2023-12-12,-58.8682645,-27.4647485
2,B01,0.06767281393210094,2023-12-12,-58.8678045,-27.4658444
2,B02,0.0829939420024554,2023-12-12,-58.8678045,-27.4658444
2,B03,0.11324478189150491,2023-12-12,-58.8678045,-27.4658444
2,B04,0.12754019929303062,2023-12-12,-58.8678045,-27.4658444
2,B05,0.11301333953936894,2023-12-12,-58.8678045,-27.4658444
2,B06,0.08763456427388722,2023-12-12,-58.8678045,-27.4658444
2,B07,0.09582235167423885,2023-12-12,-58.8678045,-27.4658444
2,B08,0.07996147788233227,2023-12-12,-58.8678045,-27.4658444
2,B8A,0.08334633376863268,2023-12-12,-58.8678045,-27.4658444
2,B11,0.06306796189811495,2023-12-12,-58.8678045,-27.4658444
2,B12,0.0549463749759727,2023-12-12,-58.8678045,-27.4658444
3,B01,0.06116192373964521,2023-12-12,-58.8652232,-27.4664385
3,B02,0.07845544007917245,2023-12-12,-58.8652232,-27.4664385
3,B03,0.1051279910736614,2023-12-12,-58.8652232,-27.4664385
3,B04,0.1187635064125061,2023-12-12,-58.8652232,-27.4664385
3,B05,0.09890286003549892,2023-12-12,-58.8652232,-27.4664385
3,B06,0.07204981168939008,2023-12-12,-58.8652232,-27.4664385
3,B07,0.0752435206539101,2023-12-12,-58.8652232,-27.4664385
3,B08,0.06414185227671017,2023-12-12,-58.8652232,-27.4664385
3,B8A,0.06649329223566586,2023-12-12,-58.8652232,-27.4664385
3,B11,0.04817125619026936,2023-12-12,-58.8652232,-27.4664385
3,B12,0.04174684567583932,2023-12-12,-58.8652232,-27.4664385
4,B01,0.06399675375885433,2023-12-12,-58.8634207,-27.4679387
4,B02,0.0932106011443668,2023-12-12,-58.8634207,-27.4679387
4,B03,0.12898194210396874,2023-12-12,-58.8634207,-27.4679387
4,B04,0.13778076734807757,2023-12-12,-58.8634207,-27.4679387
4,B05,0.11612220522430208,2023-12-12,-58.8634207,-27.4679387
4,B06,0.08639752368132274,2023-12-12,-58.8634207,-27.4679387
4,B07,0.0912867859005928,2023-12-12,-58.8634207,-27.4679387
4,B08,0.07852542565928565,2023-12-12,-58.8634207,-27.4679387
4,B8A,0.08192343264818192,2023-12-12,-58.8634207,-27.4679387
4,B11,0.06469458176030053,2023-12-12,-58.8634207,-27.4679387
4,B12,0.05743052065372467,2023-12-12,-58.8634207,-27.4679387
5,B01,0.06739238566822475,2023-12-12,-58.8622547,-27.4690254
5,B02,0.10084232522381675,2023-12-12,-58.8622547,-27.4690254
5,B03,0.14111106428835127,2023-12-12,-58.8622547,-27.4690254
5,B04,0.1478856305281321,2023-12-12,-58.8622547,-27.4690254
5,B05,0.12318708416488436,2023-12-12,-58.8622547,-27.4690254
5,B06,0.0971240293648508,2023-12-12,-58.8622547,-27.4690254
5,B07,0.10358014537228478,2023-12-12,-58.8622547,-27.4690254
5,B08,0.0834725954466396,2023-12-12,-58.8622547,-27.4690254
5,B8A,0.09384011560016207,2023-12-12,-58.8622547,-27.4690254
