Planta Potabilizadora Nº3;;;;;
AÑO 2018;;;;;
;;;;;
DIA;HORA;CONDUCTIVIDAD (mS/cm);pH;ALCALINIDAD (ppm CaCO3);TURBIDEZ (UNT)
;Hora: 04:07;186,9;7,26;38;236
11/1/2018;Hora: 06:25;;;;
;Hora: 07:30;183,1;7,23;38;288
;Hora: 11:25;184,6;7,22;38;274
;Hora: 15:20;190,6;7,19;38;265
;Hora: 19:25;184,6;7,22;38;293
;Hora: 23:06;182,6;7,36;38;300
;Hora: 04:15;188,1;7,25;38;282
12/1/2018;Hora: 06:30;;;;
;Hora: 08:10;189;7,15;36;267
;Hora: 11:30;181,2;7,21;38;264
;Hora: 14:55;183,2;7,27;38;272
;;;;;
;Hora: 23:09;178,6;7,18;38;310
;Hora: 04:16;180,3;7,25;38;266
13/1/2018;;;;;
;Hora: 06:30;183,4;7,24;38;272
;Hora: 10:45;186,2;7,20;38;280
;Hora: 14:30;131,4;7,25;32;292
;Hora: 19:30;183,6;7,18;32;278
;Hora: 23:15;210;7,28;38;277
;Hora: 04:08;214;7,18;36;184
14/1/2018;;;;;
;Hora: 06:35;210;7,20;38;207
;Hora: 10:40;203;7,21;38;210
;Hora: 14:40;191,3;7,16;34;217
;Hora: 19:25;193,6;7,18;34;213
;Hora: 23:08;168,6;7,17;34;192
;Hora: 04:15;168;7,27;34;202
15/1/2018;Hora: 06:23;;;;
;Hora: 07:45;131,1;7,16;34;235
;Hora: 11:33;123,8;7,16;38;208
;Hora: 15:00;120,1;7,12;36;195
;Hora: 19:45;118,9;7,18;36;186
;Hora: 23:18;121,6;7,18;36;228
;Hora: 04:09;120,9;7,12;36;239
16/1/2018;;;;;
;Hora: 09:32;;;;
;Hora: 11:13;129;7,12;38;269
;Hora: 14:35;127,1;7,16;38;263
;Hora: 18:45;130,6;7,07;38;276
;Hora: 23:09;125,2;7,25;38;336
;Hora: 04:07;124,7;7,21;38;400
17/1/2018;Hora: 06:24;;;;
;Hora: 07:48;125,9;7,15;36;373
;Hora: 11:23;129,9;7,12;36;405
;Hora: 14:15;131,7;7,10;36;397
;Hora: 18:25;137,2;7,06;38;387
;Hora: 00:00;126,2;7,14;36;296
;Hora: 04:25;123,6;7,18;36;328
18/1/2018;;;;;
;Hora: 07:13;116;7,14;34;293
;Hora: 11:16;120,4;7,11;34;298
;Hora: 14:25;122,7;7,17;36;291
;Hora: 18:35;126,8;7,11;36;279
;Hora: 23:15;123,8;7,16;36;305
;Hora: 04:25;122,3;7,11;36;318
19/1/2018;Hora: 06:26;;;;
;Hora: 07:43;121,9;7,13;34;298
;Hora: 11:42;122,1;7,11;34;286
;Hora: 14:20;127,1;7,13;34;293
;Hora: 19:00;120,3;7,09;34;287
;Hora: 23:00;141,6;7,11;34;243
;Hora: 04:30;140,3;7,19;34;249
20/1/2018;;;;;
;Hora: 07:36;119,9;7,03;34;288
;Hora: 11:27;126,9;7,01;34;268
;Hora: 14:20;127,6;7,08;34;278
;Hora: 18:35;128,1;7,10;36;295
;Hora: 23:46;211;7,13;34;247
;Hora: 04:35;223;7,19;34;277
21/1/2018;;;;;
;Hora: 08:23;;;;
;Hora: 11:23;214;7,10;34;260
;Hora: 15:15;231;7,12;36;274
;Hora: 19:00;236;7,10;36;277
;Hora: 23:55;231;7,21;36;256
;Hora: 04:30;237;7,19;36;273
22/1/2018;Hora: 06:12;;;;
;Hora: 07:30;219;7,09;38;260
;Hora: 11:15;278;7,04;38;266
;Hora: 14:30;320;7,06;36;279
;Hora: 18:45;317;7,09;36;283
;Hora: 23:50;288;7,13;34;273
;Hora: 04:30;272;7,15;34;295
23/1/2018;Hora: 06:09;;;;
;Hora: 07:35;256;7,13;38;286
;Hora: 10:57;284;7,15;40;328
;Hora: 15:03;285;7,13;38;427
;Hora: 18:43;245;7,11;38;377
;Hora: 00:00;311;7,13;36;288
;Hora: 04:30;289;7,19;36;296
24/1/2018;Hora: 06:20;;;;
;Hora: 07:30;282;7,04;38;282
;Hora: 11:10;253;7,03;38;300
;Hora: 15:03;252;7,09;32;280
;Hora: 19:04;240;7,12;38;300
;Hora: 22:50;263;7,11;36;293
;Hora: 04:05;258;7,15;36;287
25/1/2018;Hora: 06:17;;;;
;Hora: 07:39;255;7,08;38;272
;Hora: 11:25;260;7,14;38;267
;Hora: 15:08;227;7,06;38;258
;Hora: 19:08;218;7,04;38;255
;Hora: 23:10;234;7,03;36;259
;Hora: 04:05;242;7,08;36;272
26/1/2018;Hora: 06:15;;;;
;Hora: 07:35;220;7,11;38;230
;Hora: 11:00;206;7,08;38;182
;Hora: 15:18;205;7,03;38;193
;Hora: 19:04;240;7,01;38;168
;Hora: 23:05;236;7,04;36;200
;Hora: 04:00;230;7,10;36;202
27/1/2018;;;;;
;Hora: 08:15;208;7,02;36;140
;Hora: 12:00;202;6,82;36;158
;Hora: 15:05;287;6,88;36;129
;Hora: 19:04;264;6,90;36;126
;Hora: 22:40;237;7,03;36;179
;Hora: 03:55;236;7,04;36;172
28/1/2018;;;;;
;Hora: 08:00;184,2;6,82;36;129
;Hora: 11:55;185,1;6,83;36;142
;Hora: 15:23;228;6,88;36;108
;Hora: 18:43;196,8;6,89;36;104
;Hora: 22:40;198,1;7,00;36;119
;Hora: 03:55;196,7;6,98;36;127
29/1/2018;Hora: 06:25;;;;
;Hora: 08:15;175,8;6,83;42;128
;Hora: 11:40;173,5;7,02;42;125,6
;Hora: 15:13;178,5;6,90;40;122
;Hora: 19:08;173;6,92;40;119
;Hora: 22:40;177,9;6,98;38;130
;Hora: 04:00;174,2;6,99;38;121
30/1/2018;Hora: 06:15;;;;
;Hora: 08:00;155,3;6,89;40;104
;Hora: 11:00;159,9;6,85;40;107
;Hora: 15:25;163,6;6,82;40;126
;Hora: 19:05;156,9;-;40;112
;Hora: 22:40;155,4;6,95;38;113
;Hora: 03:55;157,9;6,93;38;119
31/1/2018;Hora: 06:25;;;;
;Hora: 08:00;153,7;6,78;40;120
;Hora: 12:15;154,2;6,72;40;124
;Hora: 15:15;154,6;6,82;40;112
;Hora: 18:45;142,9;6,75;40;109
;Hora: 22:53;155,2;6,85;40;115
;Hora: 03:38;153,7;6,90;40;110
1/2/2018;Hora: 06:30;;;;
;Hora: 08:00;152,3;6,88;40;113
;Hora: 11:00;154,3;6,8;40;118
;Hora: 15:15;154,8;6,72;40;110
;Hora: 18:55;150,3;6,78;40;120
;Hora: 00:10;155,1;6,82;40;110
;Hora: 03:53;151,7;6,8;40;108
2/2/2018;Hora: 07:30;149,2;6,83;40;119
;Hora: 10:50;148,6;6,85;40;117
;Hora: 15:25;146,7;6,73;40;115
;Hora: 19:17;143,8;6,88;40;112
;Hora: 23:08;151,6;6,82;40;122
;Hora: 03:52;153,5;6,83;40;115
;;;;;
3/2/2018;;;;;
;Hora: 07:40;148,6;6,78;40;115
;Hora: 11:20;149,5;6,84;40;118
;Hora: 15:45;148,1;6,82;40;107
;Hora: 18:50;-;6,76;40;102
;Hora: 23:13;151,1;6,9;40;110
;Hora: 04:03;150,0;6,93;40;115
4/2/2018;;;;;
;Hora: 07:30;148,6;6,83;40;114
;Hora: 11:20;149,7;6,81;40;109
;Hora: 15:49;147,9;6,79;40;149
;Hora: 18:59;145,1;6,83;40;149
;Hora: 23:23;149,1;6,83;40;125
;Hora: 03:28;149,4;6,85;40;134
5/2/2018;;;;;
;Hora: 07:13;149,5;6,76;40;121
;Hora: 11:10;153,1;6,86;40;162
;Hora: 15:42;146,9;6,76;40;149
;Hora: 19:14;146,0;6,86;40;182
;Hora: 23:33;149,9;6,85;40;128
;Hora: 03:38;146,6;-;40;136
6/2/2018;Hora: 06:24;;;;
;Hora: 08:15;150,2;6,78;44;167
;Hora: 11:15;153,1;6,81;44;172
;Hora: 14:50;151,3;6,84;44;178
;No se realizó;;;;
;Hora: 23:24;149,7;6,84;42;156
;Hora: 03:53;148,1;6,85;42;158
7/2/2018;;;;;
;Hora: 10:35;;;;
;Hora: 11:30;Planta fuera de servicio;;;
;Hora: 15:40;;;;
;Hora: 18:40;;;;
;Hora: 23:35;148,2;6,86;40;180
;Hora: 04:02;-;-;40;196
8/2/2018;Hora: 06:30;;;;
;Hora: 07:40;151,4;6,89;42;197
;Hora: 10:35;167,1;6,96;44;198
;Hora: 14:50;185,2;6,92;42;193
;Hora: 19:00;182,6;6,89;42;198
;Hora: 23:44;168,0;6,88;42;209
;Hora: 04:08;168,4;6,76;42;190
9/2/2018;Hora: 06:35;;;;
;Hora: 07:40;167,3;6,87;46;228
;Hora: 10:40;165,9;6,92;46;231
;Hora: 15:25;173,2;6,87;46;225
;Hora: 18:30;172,6;6,83;44;221
;Hora: 23:40;176,2;6,91;44;201
;Hora: 03:29;171,2;6,93;46;280
10/2/2018;;;;;
;Hora: 06:25;172,9;6,88;44;263
;Hora: 10:30;176,7;6,84;42;259
;Hora: 14:45;178,9;6,85;40;236
;Hora: 19:20;175,7;6,81;42;243
;Hora: No registró;170,2;6,73;42;214
;Hora: 04:02;171,3;6,82;42;220
11/2/2018;;;;;
;Hora: 06:35;183,9;6,79;42;203
;Hora: 10:40;187,4;6,82;42;212
;Hora: 15:25;184,6;6,88;40;204
;Hora: 19:15;186,2;6,85;40;211
;Hora: 23:57;178,4;6,76;42;226
;Hora: 04:05;176,2;6,84;42;272
12/2/2018;;;;;
;Hora: 06:15;168,4;6,92;42;250
;Hora: 10:40;178,8;6,95;42;232
;Hora: 15:20;179,5;6,93;42;224
;Hora: 18:30;180,4;6,9;42;243
;Hora: 23:57;181,7;6,8;42;252
;Hora: 03:58;165,1;6,83;42;310
13/2/2018;;;;;
;Hora: 06:20;172,8;6,9;42;286
;Hora: 10:50;175,6;6,82;42;290
;Hora: 14:40;180,7;6,89;42;286
;Hora: 18:35;181,2;6,82;42;279
;Hora: 00:39;161,5;6,82;42;286
;Hora: 03:50;159,0;6,84;42;256
14/2/2018;;;;;
;Hora: 06:30;161,4;7,1;46;353
;Hora: 11:15;161,9;7,12;46;362
;Hora: 15:00;170,3;7,06;44;340
;Hora: 18:40;173,4;7,11;44;338
;Hora: 23:05;171,8;6,87;40;322
;Hora: 04:30;170,6;6,82;40;293
15/2/2018;;;;;
;Hora: 06:20;160,1;7,13;46;320
;Hora: 11:15;172,8;7,16;46;346
;Hora: 14:30;179,8;7,1;44;338
;Hora: 18:40;184,2;7,16;44;350
;Hora: 23:10;170,2;6,95;40;297
;Hora: 04:40;172,1;6,92;40;306
16/2/2018;;;;;
;Hora: 06:50;161,3;7,15;46;304
;Hora: 11:10;166,8;7,2;46;308
;Hora: 14:35;168,7;7,16;44;300
;Hora: 19:10;174,7;7,1;44;307
;Hora: 23:25;175,7;6,85;40;296
;Hora: 04:40;173,2;6,88;40;308
17/2/2018;;;;;
;Hora: 06:15;175,8;7;42;312
;Hora: 11:00;177,2;7,06;42;315
;Hora: 14:30;181,7;7,1;44;323
;Hora: 19:10;187,2;7,13;44;339
;Hora: 23:20;171,8;6,87;40;316
;Hora: 04:25;172,4;6,82;40;320
18/2/2018;;;;;
;Hora: 06:20;170,8;7,16;42;300
;Hora: 11:00;172,8;7,13;42;309
;Hora: 14:30;180,6;7,16;44;328
;Hora: 18:40;182,7;7,13;44;360
;Hora: 23:30;168,7;6,87;40;392
;Hora: 04:40;169,4;6,83;40;356
19/2/2018;Hora: 06:14;;;;
;Hora: 08:13;167,0;7,26;46;389
;Hora: 11:30;159,1;7,06;46;360
;Hora: 14:30;166,3;7,1;44;357
;Hora: 18:20;167,4;7,16;44;366
;Hora: 23:30;164,8;6,98;40;407
;Hora: 04:30;161,9;6,95;40;413
20/2/2018;Hora: 06:18;;;;
;Hora: 07:38;156,6;7,19;48;539
;Hora: 10:47;156,4;7,2;46;462
;Hora: 14:40;160,1;7,18;46;470
;Hora: 18:35;162,7;7,15;46;487
;Hora: 23:35;163,9;7,01;40;476
;Hora: 04:30;164,2;6,98;40;582
21/2/2018;Hora: 06:20;;;;
;Hora: 08:18;161,7;7,2;46;568
;Hora: 11:40;152,8;7,26;48;746
;Hora: 14:20;160,3;7,28;46;681
;Hora: 18:45;159,1;7,26;46;662
;Hora: 22:25;158,7;7,26;46;629
;Hora: 04:10;163,2;7,2;44;637
22/2/2018;Hora: 06:22;;;;
;Hora: 08:20;161,9;7,23;46;589
;Hora: 12:08;158,1;7,34;46;606
;Hora: 14:35;161,3;7,28;46;610
;Hora: 18:55;163,8;7,25;46;617
;Hora: 22:40;167,1;7,16;44;623
;Hora: 04:05;163,2;7,13;44;616
23/2/2018;Hora: 06:20;;;;
;Hora:  07:55;154,8;7,08;46;673
;Hora: 11:35;158,5;7,14;46;800
;Hora: 14:45;156,9;7,18;46;692
;Hora: 18:55;158,6;7,1;46;668
;Hora: 22:40;162,7;7,13;46;649
;Hora: 03:55;165,2;7,17;44;636
24/2/2018;;;;;
;Hora: 07:43;146,1;7,18;46;576
;Hora: 11:40;156,0;7,12;46;600
;Hora: 14:30;154,6;7,18;44;619
;Hora: 18:20;157,3;7,26;44;627
;Hora: 22:20;160,6;7,28;44;630
;Hora: 04:10;161,2;7,26;44;632
25/2/2018;;;;;
;Hora: 07:55;161,2;7,16;44;532
;Hora: 11:45;159,1;7,13;42;502
;Hora: 14:15;161,4;7,16;44;506
;Hora: 18:35;160,0;7,12;44;501
;Hora: 22:40;162,9;7,13;44;539
;Hora: 03:55;162,3;7,17;44;529
26/2/2018;Hora: 06:20;;;;
;Hora: 08:00;164,5;7,15;50;469
;Hora: 11:40;168,5;7,11;50;484
;Hora: 14:15;167,8;7,06;50;491
;Hora: 18:10;169,5;7,1;50;495
;Hora: 22:35;166,3;7,23;46;489
;Hora: 04:00;163,2;7,19;46;493
27/2/2018;Hora: 06:30;;;;
;Hora: 08:05;171,5;7,14;52;517
;Hora: 11:10;170,2;7,1;50;496
;Hora: 14:40;163,1;7,19;48;-
;Hora: 18:35;168,9;7,23;48;476
;Hora: 22:40;163,9;7,18;46;483
;Hora: 03:50;160,9;7,17;46;490
28/2/2018;Hora: 06:20;;;;
;Hora: 08:10;161,6;7,36;50;464
;Hora: 11:35;163,8;7,26;50;475
;Hora: 14:55;160,8;7,18;48;460
;Hora: 18:50;168,8;7,16;48;482
;Hora: 22:15;171,4;7,12;48;487
;Hora: 04:10;171,9;7,16;48;490
1/3/2018;Hora: 06:30;;;;
;Hora: 08:00;168,8;7,19;50;468
;Hora: 10:45;173,6;7,14;48;491
;Hora: 14:55;176,2;7,10;48;481
;Hora: 19:00;178,8;7,14;48;526
;Hora: 22:35;176,5;7,12;50;532
;Hora: 04:15;178,3;7,16;50;546
2/3/2018;Hora: 06:30;;;;
;Hora: 07:55;171,9;7,16;48;476
;Hora: 11:20;174,6;7,15;50;479
;Hora: 15:20;172;7,13;50;525
;Hora: 19:05;171,3;7,09;48;510
;Hora: 22:20;173,9;7,20;48;519
;Hora: 04:25;172,1;7,16;48;516
3/3/2018;;;;;
;Hora: 06:55;172,6;7,24;50;462
;Hora: 11:30;170,2;7,26;52;481
;Hora: 15:15;168;7,08;50;520
;Hora: 19:05;168,7;7,15;50;460
;Hora: 22:20;171,4;7,21;50;484
;Hora: 04:10;169,6;7,16;50;480
4/3/2018;;;;;
;Hora: 07:50;168,1;7,26;50;476
;Hora: 11:55;170,4;7,21;50;487
;Hora: 15:17;168,5;7,18;50;493
;Hora: 19:20;163,7;7,21;50;472
;Hora: 23:04;164,8;7,40;48;496
;Hora: 04:03;168,2;7,38;48;500
5/3/2018;Hora: 06:20;;;;
;Hora: 08:10;165,2;7,28;50;512
;Hora: 11:00;165,4;7,22;50;546
;Hora: 14:40;159,2;7,16;48;450
;Hora: 19:20;158,4;7,26;48;486
;Hora: 00:23;156,4;7,27;48;512
;Hora: 03:52;157,5;7,30;48;504
6/3/2018;Hora: 06:25;;;;
;Hora: 08:10;157,2;7,24;50;523
;Hora: 11:10;158,9;7,31;50;458
;Hora: 15:25;157,9;7,24;52;465
;Hora: 19:20;158,6;7,21;50;477
;Hora: 22:25;155,4;7,17;50;481
;Hora: 04:10;157,6;7,19;50;476
7/3/2018;Hora: 06:20;;;;
;Hora: 07:40;149,2;7,36;48;446
;Hora: 12:35;;;;
;Hora: 15:50;150,3;7,31;50;463
;Hora: 19:35;-;7,21;50;448
;Hora: 22:40;158,6;7,26;50;480
;Hora: 04:18;159,1;7,12;50;476
8/3/2018;Hora: 06:25;;;;
;Hora: 08:15;197,1;7,36;48;448
;Hora: 11:20;160,9;7,31;48;476
;Hora: 14:35;159,1;7,33;48;478
;Hora: 18:50;161,3;7,30;48;480
;Hora: 02:15;168,3;7,16;48;426
;Hora: 04:05;163;7,26;48;491
9/3/2018;;;;;
;Hora: 06:20;155,8;7,42;46;486
;Hora: 11:00;158,1;7,32;46;510
;Hora: 14:40;160,0;7,33;46;512
;Hora: 18:25;161,9;7,35;46;519
;Hora: 23:08;160,0;7,20;48;463
;Hora: 04:17;158,0;7,18;48;450
10/3/2018;;;;;
;Hora: 06:25;162,9;7,22;46;479
;Hora: 10:50;160,3;7,27;46;488
;Hora: 14:10;160,8;7,22;46;492
;Hora: 18:30;191,7;7,26;46;490
;Hora: 23:08;162,8;7,28;48;501
;Hora: 04:08;162,0;7,20;48;509
11/3/2018;;;;;
;Hora: 06:30;163,7;7,26;46;507
;Hora: 10:45;160,3;7,30;46;476
;Hora: 14:30;162,1;7,32;46;482
;Hora: 18:20;163,6;7,35;46;490
;Hora: 22:39;156,8;7,25;48;476
;Hora: No registró;158,8;7,20;48;496
12/3/2018;Hora: 06:23;;;;
;Hora: 07:53;144,3;7,47;40;557
;Hora: 11:06;150,1;7,42;44;532
;Hora: 14:25;147,9;7,45;46;536
;Hora: 18:30;149,6;7,40;46;534
;Hora: 23:00;156,2;7,28;48;516
;Hora: 03:45;158,0;7,16;48;508
13/3/2018;Hora: 06:28;;;;
;Hora: 07:33;153,0;7,45;46;478
;Hora: 11:33;154,8;7,43;-;468
;Hora: 14:25;154,2;7,47;46;472
;Hora: 18:40;159,2;7,42;46;450
;Hora: 22:40;156,8;7,23;48;479
;Hora: 04:04;158,3;7,18;48;498
14/3/2018;;;;;
;Hora: 06:48;158,6;7,38;46;502
;Hora: 11:23;161,9;7,39;46;516
;Hora: 14:35;162,7;7,36;46;520
;Hora: 18:25;160,9;7,42;46;536
;Hora: 22:20;158,8;7,40;46;526
;Hora: 04:05;160,8;7,43;46;519
15/3/2018;;;;;
;Hora: 07:10;168,7;7,42;48;710
;Hora: 11:40;174,1;7,43;48;736
;Hora: 15:20;176,2;7,40;46;709
;Hora: 18:25;169,2;7,38;46;720
;Hora: 22:20;171,6;7,42;46;723
;Hora: 04:20;170,2;7,40;46;728
16/3/2018;;;;;
;Hora: 06:58;180,6;7,43;48;542
;Hora: 10:58;188,0;7,41;48;548
;Hora: 14:30;184,6;7,32;46;578
;Hora: 18:30;180,1;7,37;46;559
;Hora: 22:10;178,6;7,40;46;570
;Hora: 04:05;180,1;7,37;46;566
17/3/2018;;;;;
;Hora: 07:03;220,0;7,36;48;563
;Hora: 11:14;215,0;7,38;48;648
;Hora: 14:50;209,0;7,42;46;636
;Hora: 18:40;210,0;7,38;46;642
;Hora: 22:35;212,0;7,41;46;645
;Hora: 04:15;215,0;7,43;46;648
18/3/2018;;;;;
;Hora: 07:04;241,0;7,38;48;598
;Hora: 10:33;257,0;7,40;48;613
;Hora: 14:45;236,0;7,38;46;627
;Hora: 18:25;228,0;7,32;46;658
;Hora: 22:10;230,0;7,35;46;662
;Hora: 04:25;231,0;7,39;46;666
19/3/2018;;;;;
;Hora: 07:04;185,4;7,27;46;608
;Hora: 12:55;;;;
;Hora: 14:25;236,0;7,30;46;597
;Hora: 18:40;230,0;7,36;44;580
;Hora: 22:45;230,0;7,39;44;596
;Hora: 04:10;227,0;7,40;44;599
20/3/2018;;;;;
;Hora: 07:20;208,0;7,30;44;473
;Hora: 11:20;206,0;7,24;44;491
;Hora: 14:53;194,4;7,39;46;720
;Hora: 19:02;184,4;7,40;46;608
;Hora: 22:30;199,9;7,46;46;611
;Hora: 04:00;196,1;7,40;46;616
21/3/2018;;;;;
;Hora: 07:25;177,3;7,18;44;460
;Hora: 11:58;186,6;7,28;44;502
;Hora: 15:10;188,2;7,37;46;609
;Hora: 19:08;178,9;7,38;46;599
;Hora: 22:30;177,9;-;46;572
;Hora: 03:55;181,6;7,42;46;589
22/3/2018;;;;;
;Hora: No registró;178,6;7,23;44;528
;Hora: 11:38;187,2;7,18;44;550
;Hora: 15:14;184,2;7,40;46;530
;Hora: 19:13;185,9;7,43;46;579
;Hora: 22:30;183,7;7,38;46;583
;Hora: 03:50;186,2;7,41;46;577
23/3/2018;;;;;
;Hora: 07:16;173,0;7,21;44;530
;Hora: 11:27;179,8;7,18;44;581
;Hora: 15:24;184,4;7,42;46;565
;Hora: 19:03;178,1;7,43;46;545
;Hora: 22:35;180,1;7,39;46;523
;Hora: 04:00;180,7;7,41;46;548
24/3/2018;;;;;
;Hora: 07:40;178,3;7,22;44;529
;Hora: 11:27;182,8;7,25;44;520
;Hora: 15:18;178,4;7,45;46;566
;Hora: 19:04;173,2;7,44;46;533
;Hora: 22:25;178,1;7,40;46;560
;Hora: 03:55;175,9;7,43;46;553
25/3/2018;;;;;
;Hora: 07:30;160,1;7,19;46;566
;Hora: 11:10;163,8;7,14;46;483
;Hora: 15:13;169,1;7,47;46;446
;Hora: 19:14;160,8;7,45;46;482
;Hora: 22:25;163,7;7,43;46;501
;Hora: 03:55;162,3;7,45;46;513
26/3/2018;Hora: 06:20;;;;
;Hora: 08:00;159,6;7,11;48;465
;Hora: 11:15;163,7;7,13;48;421
;Hora: 15:14;168,8;7,48;48;488
;Hora: 18:40;169,6;7,50;48;492
;Hora: 22:40;167,2;7,47;46;523
;Hora: 04:00;166,9;7,43;46;516
27/3/2018;Hora: 06:25;;;;
;Hora: 08:20;158,6;7,20;50;520
;Hora: 11:25;167,3;7,18;50;536
;Hora: 15:17;171,2;7,19;46;500
;Hora: 18:47;170,6;7,26;46;511
;Hora: 22:30;167,2;7,30;46;506
;Hora: 03:50;170,6;7,22;46;513
28/3/2018;;;;;
;Hora: 06:25;169,1;7,32;48;472
;Hora: 10:45;173,6;7,36;48;498
;Hora: 15:03;176,1;7,21;46;519
;Hora: 18:30;166,0;7,27;46;541
;Hora: 23:03;165,1;7,42;46;526
;Hora: 03:54;162,9;7,43;46;526
29/3/2018;;;;;
;Hora: 06:20;169,1;7,32;46;532
;Hora: 10:15;162,8;7,39;46;539
;Hora: 15:30;162,8;7,26;46;496
;Hora: 18:25;168,2;7,18;46;486
;Hora: 23:08;162,6;7,38;46;452
;Hora: 04:04;160,3;7,35;46;458
30/3/2018;;;;;
;Hora: 06:15;162,6;7,36;46;462
;Hora: 10:50;163,0;7,38;46;470
;Hora: 15:38;158,2;7,31;46;456
;Hora: 18:36;160,6;7,21;44;389
;Hora: 22:53;162,2;7,35;46;374
;Hora: 03:58;158,4;7,32;46;395
31/3/2018;;;;;
;Hora: 06:25;156,2;7,30;46;400
;Hora: 10:15;158,3;7,36;46;407
;Hora: 15:39;158,0;7,31;46;422
;Hora: 18:30;154,4;7,21;44;412
;Hora: 23:08;149,3;7,42;46;490
;Hora: 03:55;150,5;7,40;46;495
1/4/2018;;;;;
;Hora: 06:40;150,0;7,39;46;490
;Hora: 10:20;153,6;7,41;46;495
;Hora: 15:20;156,8;7,31;44;429
;Hora: 18:28;154,3;7,25;44;401
;Hora: 23:04;154,4;7,40;46;486
;Hora: 04:03;153,2;7,44;46;463
2/4/2018;;;;;
;Hora: 06:30;157,2;7,41;46;470
;Hora: 10:50;153,4;7,40;46;496
;Hora: 15:30;154,1;7,23;44;422
;Hora: 18:20;156,2;7,20;44;415
;Hora: 23:08;156,0;7,38;46;450
;Hora: 04:02;155,9;7,36;46;458
3/4/2018;Hora: 06:23;;;;
;Hora: 07:50;156,4;7,20;46;429
;Hora: 10:50;163,1;7,16;46;449
;Hora: 14:20;161,9;7,18;46;453
;Hora: 18:33;163,8;7,21;46;459
;Hora: 23:08;161,9;7,34;46;436
;Hora: 03:58;157,9;7,35;46;428
4/4/2018;Hora: 06:20;;;;
;Hora: 07:37;159,1;7,15;46;448
;Hora: 11:00;165,1;7,23;46;452
;Hora: 15:10;164,2;7,19;46;481
;Hora: 19:25;160,8;7,24;48;463
;Hora: 23:00;160,3;7,36;46;412
;Hora: 03:35;158,0;7,26;46;406
5/4/2018;Hora: 06:23;;;;
;Hora: 07:45;159,3;7,20;44;418
;Hora: 11:25;162,7;7,24;44;415
;Hora: 15:05;164,2;7,21;46;389
;Hora: 19:30;162,6;7,24;46;395
