Planta Potabilizadora Nº3;;;;;
AÑO 2018;;;;;
;;;;;
DIA;HORA;CONDUCTIVIDAD (mS/cm);pH;ALCALINIDAD (ppm CaCO3);TURBIDEZ (UNT)
1/1/2018;;;;;
;Hora: 07:10;154,6;7,20;30;264
;Hora: No registró;159,5;7,23;30;283
;Hora: 15:08;162,2;7,47;34;328
;Hora: 19:18;156,8;7,51;34;378
;Hora: 22:30;159,6;7,30;34;359
;Hora: 04:05;162,7;7,35;34;367
2/1/2018;Hora: 06:20;;;;
;Hora: 08:00;156,5;7,58;40;489
;Hora: 10:55;158,7;7,54;44;529
;Hora: 15:00;150,1;7,40;42;520
;Hora: 19:45;156,8;7,29;44;730
;Hora: 23:10;160,1;7,42;40;659
;Hora: 04:00;162,7;7,46;42;669
3/1/2018;Hora: 06:30;;;;
;Hora: 09:20;167,2;7,40;46;736
;Hora: 12:35;167,8;7,46;44;622
;Hora: 15:30;166,9;7,39;46;489
;Hora: 19:30;168,1;7,48;40;700
;Hora: 23:53;166,6;7,52;42;813
;Hora: 03:53;168,6;7,58;42;836
4/1/2018;Hora: 06:30;;;;
;Hora: 08:40;161,3;7,44;46;580
;Hora: 11:35;164,6;7,62;46;653
;Hora: 15:28;160,7;7,59;44;750
;Hora: 19:15;158,9;7,49;44;600
;Hora: 22:58;160,6;7,58;44;638
;Hora: 03:53;158,8;7,62;44;559
5/1/2018;Hora: 06:30;;;;
;Hora: 08:45;150,5;7,43;42;529
;Hora: 11:15;162,1;7,39;44;521
;Hora: 15:47;162,8;7,38;42;551
;Hora: 19:25;163;7,46;42;569
;Hora: 23:08;151,7;7,59;42;542
;Hora: 03:48;148,9;7,62;42;522
6/1/2018;;;;;
;Hora: 06:50;148,2;7,32;42;438
;Hora: 11:40;149,6;7,43;42;461
;Hora: 15:28;140,2;7,40;42;579
;Hora: 19:28;146,9;7,28;40;486
;Hora: 23:03;140,9;7,28;42;458
;Hora: 04:00;141,9;7,32;42;440
7/1/2018;;;;;
;Hora: 07:25;148,6;7,32;42;467
;Hora: 11:00;146,3;7,38;42;446
;Hora: 15:28;144,9;7,20;40;412
;Hora: 19:30;162,4;7,28;40;456
;Hora: 23:23;179,3;7,49;42;406
;Hora: 03:53;177,2;7,52;42;428
8/1/2018;Hora: 06:20;;;;
;Hora: 07:50;165,3;7,34;40;347
;Hora: 12:15;168,7;7,22;40;365
;Hora: 15:37;163,2;7,26;40;398
;Hora: 19:28;165,2;7,31;40;390
;Hora: 22:53;151;7,47;40;346
;Hora: 03:54;142,6;7,45;40;360
9/1/2018;Hora: 06:25;;;;
;Hora: 08:05;145,2;7,34;38;319
;Hora: 11:00;148,7;7,30;38;351
;Hora: 15:55;150,6;7,22;38;293
;Hora: 20:20;146,3;7,19;38;277
;Hora: 23:03;161,2;7,39;38;317
;Hora: 03:53;155,4;7,41;38;284
10/1/2018;Hora: 06:25;;;;
;Hora: 07:40;155,5;7,20;36;264
;Hora: 11:40;173;7,23;38;269
;Hora: 15:05;170,9;7,19;38;276
;Hora: 18:50;174,7;7,26;38;258
;Hora: 23:07;174,2;7,19;38;280
