fecha,punto,pixel,banda,reflect,longitud,latitud
2023-05-11,4,1x1,B11,0.1156,-58.8633671,-27.4692399
2023-05-11,4,1x1,B12,0.1130375,-58.8633671,-27.4692399
2023-05-11,4,3x3,B01,0.14844097222222222,-58.8633671,-27.4692399
2023-05-11,4,3x3,B02,0.1632888888888889,-58.8633671,-27.4692399
2023-05-11,4,3x3,B03,0.18873333333333336,-58.8633671,-27.4692399
2023-05-11,4,3x3,B04,0.19616666666666668,-58.8633671,-27.4692399
2023-05-11,4,3x3,B05,0.18385416666666668,-58.8633671,-27.4692399
2023-05-11,4,3x3,B06,0.13938819444444445,-58.8633671,-27.4692399
2023-05-11,4,3x3,B07,0.14001666666666668,-58.8633671,-27.4692399
2023-05-11,4,3x3,B08,0.1354,-58.8633671,-27.4692399
2023-05-11,4,3x3,B8A,0.1282222222222222,-58.8633671,-27.4692399
2023-05-11,4,3x3,B11,0.11560208333333331,-58.8633671,-27.4692399
2023-05-11,4,3x3,B12,0.1130965277777778,-58.8633671,-27.4692399
2023-05-11,5,1x1,B01,0.1458,-58.8624538,-27.4705607
2023-05-11,5,1x1,B02,0.1585,-58.8624538,-27.4705607
2023-05-11,5,1x1,B03,0.1792,-58.8624538,-27.4705607
2023-05-11,5,1x1,B04,0.1736,-58.8624538,-27.4705607
2023-05-11,5,1x1,B05,0.162525,-58.8624538,-27.4705607
2023-05-11,5,1x1,B06,0.13226875,-58.8624538,-27.4705607
2023-05-11,5,1x1,B07,0.13345,-58.8624538,-27.4705607
2023-05-11,5,1x1,B08,0.1266,-58.8624538,-27.4705607
2023-05-11,5,1x1,B8A,0.12451875,-58.8624538,-27.4705607
2023-05-11,5,1x1,B11,0.1170125,-58.8624538,-27.4705607
2023-05-11,5,1x1,B12,0.1139125,-58.8624538,-27.4705607
2023-05-11,5,3x3,B01,0.1458375,-58.8624538,-27.4705607
2023-05-11,5,3x3,B02,0.15773333333333334,-58.8624538,-27.4705607
2023-05-11,5,3x3,B03,0.17876666666666668,-58.8624538,-27.4705607
2023-05-11,5,3x3,B04,0.1739111111111111,-58.8624538,-27.4705607
2023-05-11,5,3x3,B05,0.1626,-58.8624538,-27.4705607
2023-05-11,5,3x3,B06,0.1321402777777778,-58.8624538,-27.4705607
2023-05-11,5,3x3,B07,0.13322916666666668,-58.8624538,-27.4705607
2023-05-11,5,3x3,B08,0.12665555555555558,-58.8624538,-27.4705607
2023-05-11,5,3x3,B8A,0.12454791666666667,-58.8624538,-27.4705607
2023-05-11,5,3x3,B11,0.11706944444444443,-58.8624538,-27.4705607
2023-05-11,5,3x3,B12,0.1139923611111111,-58.8624538,-27.4705607
2023-05-11,6,1x1,B01,0.1427375,-58.8606621,-27.4726781
2023-05-11,6,1x1,B02,0.1518,-58.8606621,-27.4726781
2023-05-11,6,1x1,B03,0.1645,-58.8606621,-27.4726781
2023-05-11,6,1x1,B04,0.1487,-58.8606621,-27.4726781
2023-05-11,6,1x1,B05,0.13948125,-58.8606621,-27.4726781
2023-05-11,6,1x1,B06,0.1243875,-58.8606621,-27.4726781
2023-05-11,6,1x1,B07,0.12621875,-58.8606621,-27.4726781
2023-05-11,6,1x1,B08,0.1222,-58.8606621,-27.4726781
2023-05-11,6,1x1,B8A,0.1227875,-58.8606621,-27.4726781
2023-05-11,6,1x1,B11,0.11583125,-58.8606621,-27.4726781
2023-05-11,6,1x1,B12,0.11503125,-58.8606621,-27.4726781
2023-05-11,6,3x3,B01,0.14269444444444443,-58.8606621,-27.4726781
2023-05-11,6,3x3,B02,0.1510111111111111,-58.8606621,-27.4726781
2023-05-11,6,3x3,B03,0.16441111111111112,-58.8606621,-27.4726781
2023-05-11,6,3x3,B04,0.1483,-58.8606621,-27.4726781
2023-05-11,6,3x3,B05,0.13958194444444444,-58.8606621,-27.4726781
2023-05-11,6,3x3,B06,0.12437777777777778,-58.8606621,-27.4726781
2023-05-11,6,3x3,B07,0.1261590277777778,-58.8606621,-27.4726781
2023-05-11,6,3x3,B08,0.1220222222222222,-58.8606621,-27.4726781
2023-05-11,6,3x3,B8A,0.12271388888888889,-58.8606621,-27.4726781
2023-05-11,6,3x3,B11,0.11597361111111112,-58.8606621,-27.4726781
2023-05-11,6,3x3,B12,0.11519305555555556,-58.8606621,-27.4726781
2023-05-11,7,1x1,B01,0.1420375,-58.8591202,-27.4733471
2023-05-11,7,1x1,B02,0.1525,-58.8591202,-27.4733471
2023-05-11,7,1x1,B03,0.164,-58.8591202,-27.4733471
2023-05-11,7,1x1,B04,0.1465,-58.8591202,-27.4733471
2023-05-11,7,1x1,B05,0.13893125,-58.8591202,-27.4733471
2023-05-11,7,1x1,B06,0.12348125,-58.8591202,-27.4733471
2023-05-11,7,1x1,B07,0.1259,-58.8591202,-27.4733471
2023-05-11,7,1x1,B08,0.1236,-58.8591202,-27.4733471
2023-05-11,7,1x1,B8A,0.12191875,-58.8591202,-27.4733471
2023-05-11,7,1x1,B11,0.1175,-58.8591202,-27.4733471
2023-05-11,7,1x1,B12,0.11661875,-58.8591202,-27.4733471
2023-05-11,7,3x3,B01,0.14206944444444444,-58.8591202,-27.4733471
2023-05-11,7,3x3,B02,0.1512777777777778,-58.8591202,-27.4733471
2023-05-11,7,3x3,B03,0.1640222222222222,-58.8591202,-27.4733471
2023-05-11,7,3x3,B04,0.1466777777777778,-58.8591202,-27.4733471
2023-05-11,7,3x3,B05,0.1388201388888889,-58.8591202,-27.4733471
2023-05-11,7,3x3,B06,0.12352986111111112,-58.8591202,-27.4733471
2023-05-11,7,3x3,B07,0.12599236111111112,-58.8591202,-27.4733471
2023-05-11,7,3x3,B08,0.12345555555555555,-58.8591202,-27.4733471
2023-05-11,7,3x3,B8A,0.1217638888888889,-58.8591202,-27.4733471
2023-05-11,7,3x3,B11,0.11763819444444444,-58.8591202,-27.4733471
2023-05-11,7,3x3,B12,0.11659791666666668,-58.8591202,-27.4733471
2023-05-11,8,1x1,B01,0.154075,-58.857019,-27.4740568
2023-05-11,8,1x1,B02,0.1584,-58.857019,-27.4740568
2023-05-11,8,1x1,B03,0.1691,-58.857019,-27.4740568
2023-05-11,8,1x1,B04,0.15310000000000001,-58.857019,-27.4740568
2023-05-11,8,1x1,B05,0.14765,-58.857019,-27.4740568
2023-05-11,8,1x1,B06,0.13218125,-58.857019,-27.4740568
2023-05-11,8,1x1,B07,0.13566875,-58.857019,-27.4740568
2023-05-11,8,1x1,B08,0.1335,-58.857019,-27.4740568
2023-05-11,8,1x1,B8A,0.129925,-58.857019,-27.4740568
2023-05-11,8,1x1,B11,0.13085625,-58.857019,-27.4740568
2023-05-11,8,1x1,B12,0.1281875,-58.857019,-27.4740568
2023-05-11,8,3x3,B01,0.15412361111111111,-58.857019,-27.4740568
2023-05-11,8,3x3,B02,0.15634444444444442,-58.857019,-27.4740568
2023-05-11,8,3x3,B03,0.16863333333333333,-58.857019,-27.4740568
2023-05-11,8,3x3,B04,0.1535,-58.857019,-27.4740568
2023-05-11,8,3x3,B05,0.1462013888888889,-58.857019,-27.4740568
2023-05-11,8,3x3,B06,0.1311673611111111,-58.857019,-27.4740568
2023-05-11,8,3x3,B07,0.13489444444444443,-58.857019,-27.4740568
2023-05-11,8,3x3,B08,0.134,-58.857019,-27.4740568
2023-05-11,8,3x3,B8A,0.1296576388888889,-58.857019,-27.4740568
2023-05-11,8,3x3,B11,0.13028402777777778,-58.857019,-27.4740568
2023-05-11,8,3x3,B12,0.12830555555555556,-58.857019,-27.4740568
2023-05-11,9,1x1,B01,0.17340625,-58.8682313,-27.4645328
2023-05-11,9,1x1,B02,0.1736,-58.8682313,-27.4645328
2023-05-11,9,1x1,B03,0.206,-58.8682313,-27.4645328
2023-05-11,9,1x1,B04,0.2454,-58.8682313,-27.4645328
2023-05-11,9,1x1,B05,0.2628,-58.8682313,-27.4645328
2023-05-11,9,1x1,B06,0.20833125,-58.8682313,-27.4645328
2023-05-11,9,1x1,B07,0.2124625,-58.8682313,-27.4645328
2023-05-11,9,1x1,B08,0.1918,-58.8682313,-27.4645328
2023-05-11,9,1x1,B8A,0.1859375,-58.8682313,-27.4645328
2023-05-11,9,1x1,B11,0.14555625,-58.8682313,-27.4645328
2023-05-11,9,1x1,B12,0.13825625,-58.8682313,-27.4645328
2023-05-11,9,3x3,B01,0.17225069444444444,-58.8682313,-27.4645328
2023-05-11,9,3x3,B02,0.1772111111111111,-58.8682313,-27.4645328
2023-05-11,9,3x3,B03,0.20935555555555557,-58.8682313,-27.4645328
2023-05-11,9,3x3,B04,0.2500222222222222,-58.8682313,-27.4645328
2023-05-11,9,3x3,B05,0.26403333333333334,-58.8682313,-27.4645328
2023-05-11,9,3x3,B06,0.21152569444444444,-58.8682313,-27.4645328
2023-05-11,9,3x3,B07,0.2164881944444444,-58.8682313,-27.4645328
2023-05-11,9,3x3,B08,0.19621111111111111,-58.8682313,-27.4645328
2023-05-11,9,3x3,B8A,0.18789375,-58.8682313,-27.4645328
2023-05-11,9,3x3,B11,0.1479375,-58.8682313,-27.4645328
2023-05-11,9,3x3,B12,0.14271666666666669,-58.8682313,-27.4645328
2023-05-11,10,1x1,B01,0.1498,-58.8672607,-27.4672578
2023-05-11,10,1x1,B02,0.1708,-58.8672607,-27.4672578
2023-05-11,10,1x1,B03,0.205,-58.8672607,-27.4672578
